path,stage,bytes,rows,produced_by,source,source_url,licence,retrieved,sha256
data/raw/_osm_fetch.log,raw,539,,,,,,,34650b9503db5b75d0b1f3a446d283319b05a483a0155c16aed9fccb4dcc5d3e
data/raw/_s3_historical_gtfs_listing.txt,raw,6209826,,,,,,,b00abef076427693c54faf49963a622157c93606b932c787f4d3c32ab4c6393a
data/raw/provenance_abs_dem.json,raw,6258,,,,,,,995509b1f3f97ea7c42c13c31ee1f57ea015aa206ff124ee87109d983871f94e
data/raw/provenance_open_data.json,raw,11257,,,,,,,37e280a7808f53003a37c4789c52682ca95d3aa90d44cccc6ef9e3a99dcec2f6
data/raw/boundaries/DZN_2021_AUST_GDA2020_SHP.zip,raw,62160137,9,cities/newcastle/extract/fetch_abs_dem.py,ABS Destination Zones 2021 (workplace geography),https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/digital-boundary-files/DZN_2021_AUST_GDA2020_SHP.zip,CC-BY 4.0,2026-08-16,40c867bb50c9816d7fae54f75c2641b32db78a4c910ddd4a43a7727fc0ddb417
data/raw/boundaries/LGA_2021_AUST_GDA2020_SHP.zip,raw,39858973,9,cities/newcastle/extract/fetch_abs_dem.py,ABS LGA 2021 boundaries,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/digital-boundary-files/LGA_2021_AUST_GDA2020_SHP.zip,CC-BY 4.0,2026-08-16,3b42e527d3fb946fec937ed6f76b8cad9882047b46188295988c3bcaab90b99a
data/raw/boundaries/SA1_2021_AUST_SHP_GDA2020.zip,raw,100630598,5,cities/newcastle/extract/fetch_abs_dem.py,ABS ASGS Ed3 SA1 2021 digital boundaries,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/digital-boundary-files/SA1_2021_AUST_SHP_GDA2020.zip,CC-BY 4.0,2026-08-16,177adac8fcc931355318984471e0e6ac76b42d1119acf3c4e3842a7c6f25ed18
data/raw/boundaries/SA2_2021_AUST_SHP_GDA2020.zip,raw,50678443,5,cities/newcastle/extract/fetch_abs_dem.py,ABS ASGS Ed3 SA2 2021 digital boundaries,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/digital-boundary-files/SA2_2021_AUST_SHP_GDA2020.zip,CC-BY 4.0,2026-08-16,c4dc5bac209f01177eaa0715d27f32cdb09ab5784fb82979741556d2f8e6d148
data/raw/boundaries/SA3_2021_AUST_SHP_GDA2020.zip,raw,35980764,5,cities/newcastle/extract/fetch_abs_dem.py,ABS ASGS Ed3 SA3 2021 digital boundaries,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/digital-boundary-files/SA3_2021_AUST_SHP_GDA2020.zip,CC-BY 4.0,2026-08-16,05215ddc3a577373aa929038cad4cd0fddf910d2f62dbc36cc9c628b5e0a6a32
data/raw/census/2021_GCP_SA1_for_NSW_short-header.zip,raw,124600647,129,cities/newcastle/extract/fetch_abs_dem.py,"ABS Census 2021 General Community Profile, SA1, NSW",https://www.abs.gov.au/census/find-census-data/datapacks/download/2021_GCP_SA1_for_NSW_short-header.zip,CC-BY 4.0,2026-08-16,c33220ea825e8849affc2024f97fd4c3cdb2d8bdd7431f2c91f6c3ce7965ca93
